date_of_incident,time_of_incident,published-time,incident_type,location,death_count,injury_count,type_of_vehicle1,type_of_vehicle2,description_text,full_text,published-time,link
2019-10-09,14:00,"10 Sep 2019, 03:20",,Khulna-Mongla highway,3.0,1.0,Truck,Truck,3 killed as trucks collide,"Three people were killed and another injured as a moving truck hit a standing truck on the Rampal power plant bypass road beside Khulna-Mongla highway on Tuesday.The identities of the victims were not known immediately. The driver of the truck, who was severely injured, was taken to Khulna Medical College Hospital.The brick laden truck was parked beside the road as its punctured tyre was being repaired around 2:00pm Tuesday when the other truck it, said the inspector (investigation) Md Tuhin of Rampal police station. The assistant of the parked truck and two assistants of the other truck died on the spot , he added.","10 Sep 2019, 03:20",https://en.prothomalo.com/bangladesh/3-killed-as-trucks-collide
2019-09-29,,"30 Sep 2019, 02:57",Head-on,Chandpur ,1.0,4.0,Motorcycle,Motorcycle,Road accident kills motorcyclist,"A motorcyclist was killed in a head-on collision between two motorbikes in Hajiganj upazila of Chandpur on Sunday evening, reports UNB.  The deceased was Faruk Hossain, 32, son of Jafar Ali of Molladahar village in the area.  The accident took place in front of Dikchhail govt primary school, leaving five people injured in the evening, said Hajiganj police station officer in-charge Rafiqul Islam.  Locals took them to a local hospital where doctosr declared Faruk dead while the injured four were admitted to Hajiganj Upazila Health Complex, said Abdur Rashid, officer-in-charge (Investigation) of the police station adding that a case was filed.","30 Sep 2019, 02:57",https://en.prothomalo.com/bangladesh/Road-accident-kills-motorcyclist
2019-09-13,21:00,"13 Sep 2019, 23:41",,Chattogram ,1.0,3.0,car,,Policeman killed in Feni road crash,"A policeman was killed and three others, including the police superintendent of the district, were injured as the jeep carrying them overturned at Lemua on Dhaka-Chattogram highway in Sadar upazila of Feni on Friday night, reports UNB. The deceased was identified as Azhar, body guard of the police super while the injured are police super Khondoker Nurunnabi, additional police super(ASP) Kazi Moniruzzaman and driver Mong Sai Chakma.  Police said the jeep, carrying the police officers, overturned as its driver lost control over the steering around 9pm while returning from Bogdadia police outpost.  On information, police recovered the body and admitted the injured people to a private clinic.  The body of Azhar was sent to Feni 250-bed General Hospital morgue for autopsy.","13 Sep 2019, 23:41",https://en.prothomalo.com/bangladesh/Policeman-killed-in-Feni-road-crash
2019-09-09,07:30,"08 Sep 2019, 22:48",,Mymensingh ,2.0,,Truck,Pedestrain,Mymensingh road accident kills 2,"Two people were killed being hit by a truck in Bagar Bazar Signboard area in Trishal upazila of Mymensingh on Monday, reports UNB.The deceased are Fazlu Mia, 50 and Alauddin Mia, 70 of Narayanpur village in the upazila.  A Mymensingh-bound truck knocked them down while they were returning home from a tea stall around 7:30 am, leaving them dead on the spot, said Trishal police officer-in-charge Azizur Rahman.  On information, police recovered the bodies and sent those to Mymensingh Medical College Hospital morgue. ","08 Sep 2019, 22:48",https://en.prothomalo.com/bangladesh/Mymensingh-road-accident-kills-2
2019-09-06,10:00,"04 Jul 2019, 04:28",,Noakhali,,1.0,Motorcycle,Motorcycle,Accidents kill 12 people per hour in Bangladesh,"Paban Majumder is disabled. He met with a road accident and underwent surgery on 30 June at the capital city’s National Institute of Traumatology and Orthopaedic Rehabilitation (commonly known as ‘pangu hospital’), where his right leg was removed from above the knee. Paban’s younger brother Madhab Majumder is looking after him. Madhab told Prothom Alo that around 10 in the morning of 9 June, Paban had been going to the market by motorbike in Hatia, Noakhali. He was hit by an ‘easy bike’ and was seriously injured. His right leg was broken. He was rushed to the Hatia upazila hospital and then later brought to a private hospital in Dhaka. He was finally brought to the government orthopaedic hospital. Madhab said he himself had been badly injured when he fell off a coconut tree a few years ago. His left arm was broken. They spent a lot on treatment but his arm is still crooked. He said even his two other brothers had met with accidents. One brother lost an eye in while operating a machine in a factory in Dhamrai in 2000. Another brother committed suicide in 2007. This family from south Hatia seems to reflect the state of accidents in Bangladesh. According to the last national survey on accidents brought out in 2016, it was revealed that 12 persons died in accidents and injuries per hour in Bangladesh. Every hour 2287 persons were injured. And among those seriously injured, every hour 28 were rendered disabled. The report, ‘Bangladesh Health and Accident Survey 2016’, was prepared by the health ministry’s non-infectious disease control programme and the non-government Centre for Injury Prevention and Research, Bangladesh (CIPRB). A summary of the report was published, but not the entire report. Prothom Alo recently managed to get a copy of the full report. Head of the CIPRB data management unit Md Abu Taleb, speaking to Prothom Alo, said, “Accidents, injuries or wounds are a serious public health problem. These have a deep impact on a family, the society and the state. The public only comes to know of a very small percentage of the accidents including road accidents, suicide and drowning. The actually picture is much worse and alarming.” The World Health Organisation lists 13 categories of accidents and injuries. These are suicide, road accidents, falling down, being cut with sharp implements, being injured by a falling object, bitten by an animal or insect, violence, drowning, injury from a machine or equipment, electric shock, accidental suffocation and accidental intake of poison. The survey collected information on all these issues. In the survey, 299,216 persons of 70,000 families in towns and villages of 16 districts of the country were interviewed. The survey covered the period from March to June 2016. They survey stated that every year over 108,000 died of various accidents. Of these, 45,000 were children under 18 years of age. The main causes of accidental death among all age groups were suicide, road accidents, drowning and falling. Suicide was more common among women. Meanwhile, over 20 million people are injured in accidents every year, of which 242,000 result in permanent disability. Endless parade of deaths According to the survey, around 109,000 people die of various accidents and injuries every year in the country. That means, 298 die every day or, 12 every hour. The elderly mostly die by falling down. The survey report says that every year over 45,000 children under 18 years of age die in the country, that means, 125 in a day. And 37 per cent of this age group die of drowning. Other main causes of death in this group are suicide, road accidents and electrification. Among adults dying in accidents, the main causes are suicide, road accidents and falling down. Every day 170 persons die of these three reasons. A similar survey was run in 2003. A comparison of the two surveys shows that in the case of under-18's, accidental deaths have increased other than in the case of drowning and animal bites. In 2003, every day there were 83 deaths. This is now 125. Deaths due to suicide, road accidents, electricity and falling, have increased. Information on injuries remain concealed Md Abu Taleb of CIPRB collected and analysed information in 2005 on accidents and injuries. He told Prothom Alo, “ Every day, every hour, somewhere in the country someone is in an accident. Sometimes it is because of one’s own fault, sometimes due to others’. Only a few of these incidents actually come to light.” The survey took into consideration the accidents or injuries for which a person had to take medical treatment or had to abstain from attending school or work. That reveals that over 20 million persons are injured in a year, that is, 2287 persons are injured on the roads, outdoors, at home and at the work place every hour. The most people are injured by falling. They fall from trees and high buildings, slip and fall on the streets, from buses, trains and rickshaws. They have to be treated for their injuries and their everyday life is disrupted. Every day over 16,000 people are injured in this manner. There has been no national level discussion on this issue. Road accidents have been discussed in recent times, but not all road accidents reach the media. The road accidents which make news are normally about accidents involving many persons being injured at one time or many persons of the same family being hurt or if a child or a student is injured. However, many more persons are injured in accidents but these incidents remain unknown. Over 3.4 million people are injured in accidents every year, that is, over 9000 a day. More people are injured by sharp implements than in road accidents. Around 12,500 persons are injured everyday by knives, cleavers, scythes, spades, shovels, blades and other sharp implements. That means over 4.5 million are injured in this manner every year. While a huge number of people receive injuries, 91.9 per cent of these accidents are of medium degree where they are treated for their injuries and released or miss just one day from school or work. Serious accidents constitute 5.4 per cent of the mishaps where the victims stay for 10 or less days at hospital, but do not require surgery. And 1.4 per cent of the people are seriously injured in accidents and are rendered permanently disabled. 661 disabled per day Every year 241,000 people become disabled due to accidents or injuries. That means 661 are disabled per day. The most injuries are occurred by falling from heights. For about four decades now, the Centre for the Rehabilitation of the Paralysed (CRP) has been providing treatment and rehabilitation services for the paralysed. CRP executive director Md Shafiqul Islam told Prothom Alo, “Most of the patients who come here were paralysed after receiving serious injuries of the spine or back. According to our records, 40 per cent of the patients are injured when falling from heights. These include high trees, buildings, bridges and so on. Many patients come in the summer months when they fall from mango, lychee and jackfruit trees.” These people fall and are paralysed. Around 83,000 people are disabled in this manner. The next cause of disability is road accidents, with over 80,000 disabled in this manner every year. Consequences and the way ahead While presenting a research study on 26 May at the government’s planning division, Md Abu Taleb said, “Accidents have a deep impact on the family, close relatives and the society. Most parents speak of their children’s studies being hampered because of accidents.” Speaking to Prothom Alo, he said, when the only earning member of a family dies in an accident, the family become helpless. The children’s studies come to a halt. They may have dreamt of becoming a doctor, engineer, joining the police or anything, but they simply end up as child workers. The research findings are very similar with that of the survey conducted by the health ministry’s non-infectious disease control programme. This study on the impact and consequences of accidents was funded by the social science research council of the government’s planning division. Deputy secretary of the planning division Uttam Kumar Das told Prothom Alo, “I had no idea that the problems caused by accidents were so big, so serious. We will send the results of this study to various ministries. The data will also be used in drawing up national policies.” The survey report had several recommendations. It was said that accidents would have to be included on the priority list of the health sector and a national accident strategic paper would have to be prepared and implemented. Also, experiences of any positive initiatives to prevent accidents should also be shared. CIPRB and icddr,b have jointly been running a project called Anchal since 2006, aimed at preventing drowning in water. The project is being implemented in 10 upazilas of 7 districts. Executive director of CIPRB Fazlul Huq told Prothom Alo, “Child deaths due to drowning have fallen by 50 per cent in our work area. All accidents can be reduced if such effective initiatives are taken up.” * This piece appeared in the print edition of Prothom Alo and has been rewritten by Ayesha Kabir","04 Jul 2019, 04:28",https://en.prothomalo.com/bangladesh/12-people-die-in-accidents-per-hour
2019-08-24,14:30,"24 Aug 2019, 04:48",Lost Control,Gopalganj,8.0,20.0,Bus,Motorcycle,8 killed as bus plunges into roadside ditch,"At least eight people were killed and 20 others injured after a Gopalganj-bound bus fell off a bridge in the Faridpur Sadar upazila on Saturday, reports UNB.  The identities of the deceased could not be known yet.  Police said the accident took place at Dhuldi area on the Dhaka-Faridpur Highway around 2:30pm.  Kotwali police station's officer-in-charge FM Nasim said six people were killed on the spot after the 'Comfort Paribahan' bus fell off the bridge.   The injured were taken to Faridpur Medical College Hospital (FMCH), the OC said.  Two of them succumbed to their injuries at FMCH, said fire service's assistant deputy director Shawkat Ali.  Faridpur region's Highway Police superintendent Mostafizur Rahman said the driver lost control when allowing a speeding motorcycle to pass. ","24 Aug 2019, 04:48",https://en.prothomalo.com/bangladesh/6-killed-as-bus-plunges-into-roadside-ditch
2019-08-16,10:30,"16 Aug 2019, 01:46",,Mymensingh ,4.0,2.0,Car ,Bus,"Parents, two children die in road accident","Four members of a family were killed and two others injured in a collision between a private car and a bus at Ramgopalpur in Gauripur upazila of Mymensingh on Friday, reports UNB. The deceased are as Rafiquzzaman, 45, a textile mill owner, his wife Najmunnahar, 40, son Nadim, 25 and daughter Raunak Jahan, 15, of Netrakona district. The Kishoreganj-bound bus collided with the Mymensingh-bound private car around 10:30am, leaving Najmunnahar dead on the spot and five others injured, said Gauripur police officer-in-charge Quamrul Islam. The injured were taken to Mymensingh Medical College Hospital where physicians declared three of them dead.","16 Aug 2019, 01:46",https://en.prothomalo.com/bangladesh/4-of-a-family-killed-in-road-crash
2019-08-15,05:45,"14 Aug 2019, 21:49",Lost Control,Feni ,7.0,10.0,Bus,,7 killed as picnic bus hits tree,"Seven people were killed and 20 others injured in a road accident in Feni Sadar Upazila’s Lemua on Thursday morning. Two of the victims were named Sujan Mia, 40, from Bikrampur upazila and Shahadat from Chhagalnaiya upazila. The identities of the other deceased could not be traced yet. Quoting Nurunnabi, superintendent of Feni police, UNB said the accident took place around 5:45am. “A Cox’s Bazar-bound picnic bus of ‘Prime Paribahan’ from Dhaka hit a roadside tree, leaving six people dead on the spot,” UNB quoted the policeman as saying. According to hospital and police sources, two of the victims died on the spot while another three died under treatment at Feni Sadar Hospital. Sub-inspector of Mohipal highway police station, Md Kawser Mia, confirmed the death of seven people and said 10 among the wounded were sent to Dhaka.","14 Aug 2019, 21:49",https://en.prothomalo.com/bangladesh/7-killed-as-picnic-bus-hits-tree
2019-08-10,23:15,"07 Oct 2019, 21:22",Lost Control,Faridpur ,3.0,9.0,Bus,,Three killed as bus falls into ditch,"At least three persons were killed and nine others injured when a bus plunged into a roadside ditch in Kumardia of Nagarkanda upazila, Faridpur on Monday night.The identity of the deceased could not be known yet.The accident took place when the driver of a Dhaka-bound bus of Goldenline Paribahan from Patuakhali lost control over steering and the bus fell into a roadside ditch around 11:15pm, leaving a man and a woman dead on the spot and injuring 10, said Bhanga highway police sub-inspector Nityaranjan Mallik. The injured were rushed to Moksedpur upazila health complex and Bhanga upazila health complex where another person succumbed to his injuries. The bodies were taken to Bhanga highway police station. ","07 Oct 2019, 21:22",https://en.prothomalo.com/bangladesh/Three-killed-as-bus-falls-into-ditch
2019-07-31,00:30,"31 Jul 2019, 20:58",Head-on,Rajshahi,2.0,,truck,motorcycle,2 killed in road crash,"A motorcyclist and a pillion rider were killed after a truck hit a motorcycle on the Rajshahi-Chapainawabganj road in Godagari upazila early Thursday, reports UNB. The deceased are identified as Samad, 40, and Alam, 35, of Bidirpur Gongka village in Chapainawabganj sadar upazila. Jahangir Alam, officer-in-charge of Godagari police station, said the accident took place around 12:30am near Godagari Hospital intersection. A goods-laden truck hit the motorbike, killing Alam on the spot and injuring Samad. He was taken to a local hospital where physicians pronounced him dead. The duo was returning home, the OC said.","31 Jul 2019, 20:58",https://en.prothomalo.com/bangladesh/2-killed-in-road-crash-11
2019-07-30,06:00,"30 Jul 2019, 20:31",,Chattogram ,3.0,,truck,,3 killed in Cumilla road crash,"A cattle-laden truck overturned on the Dhaka-Chattogram Highway on early Wednesday, killing three people and six cows, reports UNB.The deceased are Anwar Hossain, Samiul Islam and Khokon Mia. They are residents of Jhenaidah’s Maheshpur upazila.The accident took place at Chiura of Chouddagram upazila around 6am.Abul Kalam, in-charge of Miabazar highway police camp, said the men were killed on the spot.Police recovered the bodies and sent them to Cumilla Medical College Hospital for autopsy.","30 Jul 2019, 20:31",https://en.prothomalo.com/bangladesh/3-killed-in-Cumilla-road-crash
2019-07-28,,"28 Jul 2019, 21:12",,,,,,,Death rules Dhaka roads,"Over the last one year, 297 persons were killed in road accidents in the capital city Dhaka. And around 38 per cent of these victims were pedestrians. There is no decrease in the number of deaths due to road accidents in the city. These figures were revealed by the Accident Research Institute (ARI) of the Bangladesh University of Engineering and Technology (BUET). The ARI statistics were from 1 July 2018 to 1 July 2019. Of these deaths, 46 took place on the Airport Road alone. According to the institute’s report, 276 died of road accidents in 2017 in the city. When two students of Shaheed Ramiz Uddin Cantonment College, Diya Khanam Mim and Abdul Karim Rajib, were killed in a road accident while waiting for a bus on Airport Road a year ago, angry school, college and university students broke out in protest. They took up a movement, demanding safe roads. The Dhaka Metropolitan Police and other agencies of the government at the time spoke of various initiatives to address the situation. A year has passed since the movement, but those initiatives are yet to be fulfilled. Dhaka’s roads still see no discipline. During the safe road movement, hoodlums in helmets swooped down on the protesting students and assaulted them. Journalists were injured in these attacks too. The police turned a blind eye to these attacks carried out by activists of the government-backed student organisation. Instead, they filed 60 cases against a few hundred demonstrators and sent 99 to jail, 52 of whom were students. These students are out on bail now, but still have to appear in court. The police have submitted charge sheets in two of the 60 cases. Final reports for two of the cases were submitted, recommending release from charges. The other cases remain under investigation. Jahanara Huq, the mother of an accused student Zahidul Huq, told Prothom Alo on Sunday, the police picked up her son on false charges. He was even sent to jail. He has to appear in court every month now. He is under mental stress and his studies have been affected. She has no idea when he will be released from charges. Former law minister Shafiq Ahmed has said that it is very unfortunate that the investigations in these cases have still not been completed. He told Prothom Alo that if there was no evidence or proof, the charges against the students should be dropped as soon as possible. Deaths do not decrease Upon orders of the Supreme Court, an inquiry committee had been formed to look into the deaths of the two students of Shaheed Ramiz Uddin Cantonment College. The committee, headed by the director of BUET’s ARI, Mizanur Rahman, submitted its report to the court. The report maintained that the disorder in the public transport sector was responsible for the road accidents in Dhaka. Public transport had decreased, but the number of private cars was on a steady increase. Most of the bus routes were haphazard. The bus drivers were not given proper appointments, but hired on a daily basis. The bus owners collected their money from the drivers at the end of the day. The drivers were also under a lot of pressure, having to pay for the fuel and other miscellaneous costs. Associate professor of BUET’s Accident Research Institute, Md. Saifun Newaz, speaking to Prothom Alo, said that the safe road movement is over, but Dhaka’s road accidents continue. The public transport sector is still in chaos. There is no visible progress in reducing the incidence of road accidents. Deaths on Airport Road Records indicate that the highest number of road accident deaths in Dhaka city take place on the Airport Road. Over the past four years, 204 persons have died on this treacherous road. On 11 February this year, an 18-year-old boy was killed by a bus in front of the Joarshahara bus stand. Police officer Mofakkharul filed a case with the Khilkhet police station in this regard. Police inspector (investigations) of Khilkhet police station, Abul Bashar Muhammad Asaduzzaman, told Prothom Alo that bus and motorcycle drivers drove at reckless speeds. Pedestrians mostly failed to use the over-bridges to cross the streets. That was why the road accident deaths were not decreasing. It has been observed from various records that there are 23 particular sports near the Hazrat Shah Jalal International Airport that are prone to accidents. Additional commissioner of Dhaka Metropolitan Police (DMP), Mofiz Uddin, informed Prothom Alo that there were many reasons that the deaths on Dhaka roads were not decreasing. However, he said, the police were taking all sorts of measures to reduce the number of deaths.Chairman of Nirapod Sarak Chai, actor Ilyas Kanchan, feels that the road accidents continue as the road transport act is not followed. Vehicles without fitness were plying the streets of Dhaka, he observed while talking to Prothom Alo. The drivers were driving recklessly, killing people. Order would have to be ensured in the public transport sector to reduce deaths on the roads. He called for stern application of the existing laws. * This report appeared in the print edition of Prothom Alo and has been rewritten in English by Ayesha Kabir","28 Jul 2019, 21:12",https://en.prothomalo.com/bangladesh/Death-rules-Dhaka-roads
2019-07-27,08:30,"27 Jul 2019, 01:57",,Kishoreganj ,4.0,,Truck,CNG run auto rickshaw,"Truck hits auto-rickshaw, kills 4","Four people were killed after a truck hit a CNG-run auto-rickshaw in Pakundia upazila of Kishoreganj on Saturday morning. Auto-rickshaw driver Sharif and shoe-seller Khokon died on the spot as the truck hit the vehicle on Mathkhola-Katiadi road near Mandarkandi Girls High School around 8:30am, said police. Injured Razia Khatun died under treatment at Katiadi upazila Health Complex while Wahid Mia succumbed to his injuries on the way to Dhaka. Ahutia investigation centre in-charge Md Shafiqul Islam said they seized the truck.","27 Jul 2019, 01:57",https://en.prothomalo.com/bangladesh/Truck-hits-auto-rickshaw-kills-4
2019-07-25,07:00,"26 Jun 2019, 22:25",,Gazipur,2.0,8.0,Truck,Human Hauler,2 killed in road accident,"Two people were killed and eight others injured after a truck rammed into a human hauler on Tongi-Kaliganj road at Shalimun in Tongi, Gazipur on Thursday. The deceased could not be traced immediately. Kamal Hossain, officer-in-charge of Tongi police station, said the accident took place around 7:00am when a truck hit the Tongi-bound human hauler. A passenger of the human hauler was killed on the spot and nine others were injured. The injured were taken to Ahsanullah General Hospital where doctors pronounced another passenger dead.","26 Jun 2019, 22:25",https://en.prothomalo.com/bangladesh/2-killed-in-road-accident-3
2019-06-25,02:30,"25 Jun 2019, 02:59",head on,Gajipur,2.0,,truck,pickup,2 killed in Gazipur road crash,"Two people were killed and four others were injured as a truck hit a pickup in Gazipur early Tuesday, reports UNB.One of the deceased was Mohammad Naim, from Kishoreganj district. The truck crashed into the Sreepur-bound pickup from behind at Purabari around 2:30am, leaving two of its passengers dead on the spot and four others injured, said officer-in-charge of Kotwali police station Samir Sutradhar. Police recovered the bodies and sent to Shaheed Tajuddin Ahmad Medical College Hospital for autopsy.","25 Jun 2019, 02:59",https://en.prothomalo.com/bangladesh/2-killed-in-Gazipur-road-crash-5
2019-06-16,02:00,"16 Jun 2019, 06:12",Lost Control,Wari,1.0,,motorcycle,,Biker killed in Wari,"A motorcyclist was killed as his bike crashed into a roadside pillar in the city's Wari area early Sunday, reports UNB.The deceased was Jubayer, 25, a resident of Hare Street of Wari.Assistant sub-inspector Baby Ram of Wari police station said Jubayer received injuries when his motorcycle crashed into a road side pillar at Wari Post Office Goli around 1:00am.He was rushed to Dhaka Medical College Hospital where he succumbed to his injuries at around 2:00am.","16 Jun 2019, 06:12",https://en.prothomalo.com/bangladesh/Biker-killed-in-Wari
2019-06-04,05:00,"04 Jun 2019, 06:43",,Dhaka,1.0,30.0,bus,,"1 killed, 30 injured in Sylhet road crash","A woman was killed and 30 others injured as a bus fell into a ditch by the Dhaka-Sylhet highway in Osmaninagar upazila of Sylhet on Tuesday, reports UNB. The deceased is Khursheda Begum, 20, wife of Faruk Miah of Berigaon village in Sunamganj Sadar upazila. Officer-in-charge of Sherpur highway police station Jasim Uddin said the Sylhet-bound 'Shahjalal Paribahan' bus from Dhaka skidded off the road and plunged into the ditch at Goalbazar Brahmangram around 5am after its driver lost his control over the steering. The accident left Khursheda dead on the spot and 30 other passengers injured, he said. Firefighters from Tajpur Fire Station and highway police rescued the injured and took them to hospitals.","04 Jun 2019, 06:43",https://en.prothomalo.com/bangladesh/1-killed-30-injured-in-Sylhet-road-crash
2019-06-02,12:45,"02 Jun 2019, 01:15",,Pabna,8.0,15.0,,,8 killed in Sirajganj road crash,"At least eight people were killed and 15 others injured in a head-on collision between a human hauler and a bus at Boalia in Ullapara upazila of Sirajganj on Sunday noon. The deceased could not be identified immediately. The accident took place on Dhaka-Pabna Highway when the passenger bus collided with the human hauler around 12:45pm, killing eight of people on the spot, said Dewan Koishik Ahmed, officer-in-charge of Ullapara Model police station. Police took the injured to Sirajganj Sadar Hospital, the OC added.","02 Jun 2019, 01:15",https://en.prothomalo.com/bangladesh/8-killed-in-Sirajganj-road-crash
2019-05-25,21:00,"25 May 2019, 21:07",Head-on,Chattogram,5.0,,motorcycle,truck,3 motorcyclists killed in road crash,"Three motorcyclists were killed after a motorbike crashed into a truck on Dhaka-Chattogram highway in Duk Bangalow area of Mirsharai upazila of Chattogram on Saturday night, reports UNB. The deceased are Rakibul Islam, 18, son of Abdul Mannan of Borotakia area in the upazila, Md Rifat, 22, son of Mahbubul Haque of Chhagolnaiya upazila and Tarek Hossain, 21, son of Safiul Alam, of Khoiyachhara of Feni. The accident took place around 9:00pm when the speeding motorcycle crashed into the stationary truck, leaving two motorcyclists dead on the spot and one critically injured, UNB quotes Nurul Alam, sub-inspector of Mirsharai police station saying. The injured died on the way to hospital, UNB adds.","25 May 2019, 21:07",https://en.prothomalo.com/bangladesh/3-motorcyclists-killed-in-road-crash
2019-05-18,,"18 May 2019, 00:14",Lost Control,Bagerhat ,6.0,12.0,Bus,,6 killed as bus hits roadside tree,"Six people were killed and 12 others injured critically as a bus hit a tree by the Bagerhat-Mawa highway in Kakdanga area of Fakirhat upazila in Bagerhat on Saturday morning. Three of the deceased are – Kuddus Sardar, 60, from Arjunpur village in Koyra of Khulna, Hemayet Biswas, 45, from Kodla village in Mollarhat and the bus driver Farhad, 45, from Noihati in Rupsa, Khulna. The driver of the bus lost control over the steering as its tyre burst and hit the roadside tree, killing five people on the spot, said Fakirhat police station officer-in-charge Rafiqul Islam. Another person died at the hospital, police added. The injured were taken to Khulna Medical College Hospital and Fakirhat Upazila Health Complex. Police, fire service men and local people are continuing the rescue work, the OC said.","18 May 2019, 00:14",https://en.prothomalo.com/bangladesh/5-killed-as-bus-hits-roadside-tree
2019-05-07,,"07 May 2019, 23:53",,Chatkhil,5.0,29.0,bus,Auto rickshaw,Five killed in separate road crashes,"At least five people were killed and 20 injured in two separate road crashes in Noakhali and Chandpur districts on Wednesday. In Noakhali, three people were killed and 20 others injured as a bus plunged into a roadside ditch in Chatkhil upazila of the district on Wednesday morning. Identities of the deceased could not be known immediately. Asked about the matter, Chatkhil police station’s inspector Saiful Islam told Prothom Alo that identities of the victims could not be known as yet. A rescue operation is going on, he added. Witnesses said three people were killed on the spot after a Ramganj-bound bus of Janani Paribahan fell into a roadside ditch around 9:00 this morning.The injured were admitted to a local hospital. In Chandpur, two more people were killed in a collision between a bus and a CNG-run auto rickshaw in Bagra area of Chandpur. The deceased are Mozzammel, 25, only passenger of the auto-rickshaw and the driver, according to the police. Faridganj upazila officer-in-charge Nasim said confirmed this to Prothom Alo and said bodies were sent to hospital morgue.","07 May 2019, 23:53",https://en.prothomalo.com/bangladesh/Five-killed-in-separate-road-crashes
2019-05-03,07:00,"03 May 2019, 01:38",,Bagerhat,2.0,1.0,bus,microbus,2 killed in road crash,"Two people were killed and another injured when a bus collided with a microbus on Khulna-Mawa highway at Nauapara in Fakirhat upazila of Bagerhat on Friday, reports UNB.The identities of the deceased could not be known yet. Rabiul Islam, officer-in-charge of Katakhali highway police, said the accident took place around 7:00am when the bus collided with the Mawa-bound microbus, leaving two people dead on the spot. Police recovered the bodies and seized the bus, he added.","03 May 2019, 01:38",https://en.prothomalo.com/bangladesh/2-killed-in-road-crash-9
2019-05-01,03:00,"01 May 2019, 02:17",rear end,Dhaka,1.0,3.0,truck,,Man killed in city road crash,"The helper of a truck was killed in a road accident in the city's Rajarbagh, Dhaka early Wednesday, reports UNB.The deceased is Quashem, 35.Sub-inspector Rubel of Motijheel police station said the accident took place when a sand-laden truck collided with a lorry around 3:00am, leaving three people, including two pedestrians, injured. The injured were taken to Dhaka Medical College Hospital where physicians declared Quashem dead around 3:45am, said inspector Bachchu Mia of the hospital police camp.","01 May 2019, 02:17",https://en.prothomalo.com/bangladesh/Man-killed-in-city-road-crash-7
2019-04-28,09:00,"27 Apr 2019, 23:06",,Chandpur ,5.0,2.0,Bus ,Auto Rickshaw,5 killed as bus hits auto-rickshaw,"At least five people, including a woman and her minor son, were killed after a bus hit an auto-rickshaw in Shahrasti upazila of Chandpur on Sunday morning, reports UNB. The deceased are Jannatul Ferdous, 28, her son Ruman, 8, Ranjit Chandra, 52, Fakhrul Islam, 75, and Abul Kalam, 62. All of them were passengers of the auto-rickshaw. The five were killed on the spot when a bus hit the auto-rickshaw on Chandpur-Cumilla regional road in Kakoirtola area around 9:00am, said Shah Alam, officer-in-charge of Shahrasti police station. Two more auto-rickshaw passengers were also injured in the accident, he added. They have been admitted to a local hospital.","27 Apr 2019, 23:06",https://en.prothomalo.com/bangladesh/5-killed-as-bus-hits-auto-rickshaw
2019-04-28,,"28 Apr 2019, 07:03",,Lakshmipur,9.0,,bus,auto rickshaw,Road crashes kill 9 in 4 dists,"At least nine people were killed in separate road accidents in Chandpur, Feni, Chuadanga and Lakshmipur on Sunday, reports UNB. In Chandpur, at least six people, including a woman and her son, were killed after a bus hit an auto-rickshaw in Shahrasti upazila. The deceased were identified as Jannatul Ferdous, 28, her son Ruman, 8, Ranjit Chandra, 52, Fakhrul Islam, 75, Mohammad Shahjahan, 45 and Abul Kalam, 62. Five auto-rickshaw passengers were killed on the spot and two others injured in the accident on Chandpur-Cumilla regional road in Kakoirtola around 9:00am, said Shah Alam, officer-in-charge of Shahrasti police station. Among the injured, Shahjahan died on the way to a hospital. In Feni, a man was killed and two others injured after a truck hit an auto-rickshaw at Anandapur in Fulgazi in the morning. The deceased was Khorshed Alam, 45. The injured were admitted to Feni Sadar Hospital. In Chuadanga, a motorcyclist died after being hit by a truck. Police named the victim as Shanto Miah, 30, son of Asir Uddin, resident of Makhaldanga village. The accident took place on Chuadanga-Meherpur road at Bhalaipur intersection in Sadarupazila around 5:00am, said Abdus Salam, deputy director of Chuadanga fire service. In Lakshmipur, the death of a madrasa student in a road accident sparked protest at Shakchar area in Sadarupazila in the morning. Yasin, class III student of local Hamid Miazi Madrasa, was killed after a speeding pickup van hit him while he was crossing the road for on his way to the madrasa around 10:00am. Agitated locals blocked the road and halted vehicular movement. Police later intervened and brought the situation under control, said Md Lokman Hossain, officer-in-charge of Sadar police station.","28 Apr 2019, 07:03",https://en.prothomalo.com/bangladesh/Road-crashes-kill-8-in-4-districts
2019-04-20,,"20 Apr 2019, 02:29",head on,Mymensingh,4.0,2.0,truck,auto rickshaw,4 killed in Mymensingh road crash,"At least four people including a woman were killed and two others injured following a head-on collision between a truck and an auto-rickshaw on Mymensingh-Haluaghat road in Alalpur area of Mymensingh on Saturday morning, reports UNB.The identity of the deceased could not be known immediately.The accident took place around 11:00am when the auto-rickshaw collided with the truck, leaving three dead on the spot and four injured, said Mahmudul Islam, officer-in-charge of Kotowali Police Station. One of the injured died on the way to Mymensingh Medical College Hospital, he added.","20 Apr 2019, 02:29",https://en.prothomalo.com/bangladesh/4-killed-in-Mymensingh-road-crash
