Newspaper Name,Accident date,Header,News title,Deaths,Injured
Dhaka Tribune,Feb 26 2020,5 killed in Dhaka road accidents,5 killed in Dhaka road accidents,5,0
Dhaka Tribune,Feb 26 2020,4 killed in Dhaka road accidents,4 killed in Dhaka road accidents,4,0
Dhaka Tribune,Feb 25 2020,11 killed in road crashes,11 killed in road crashes,11,0
Dhaka Tribune,Feb 24 2020,4 killed in road accidents in Dhaka,4 killed in road accidents in,4,0
Dhaka Tribune,Feb 23 2020,18 injured as private car ploughs through crowd in Kurmitola,18 injured as private car ploughs through...,0,18
Dhaka Tribune,Feb 22 2020,10 killed in road accidents,10 killed in road accidents,10,0
Dhaka Tribune,Feb 19 2020,10 killed in road accidents,10 killed in road accidents,10,0
Dhaka Tribune,Feb 16 2020,10 killed in road crashes,10 killed in road crashes,10,0
Dhaka Tribune,Feb 15 2020,Mymensingh divisional commissioner injured in Gazipur road accident,Mymensingh divisional commissioner injured...,,1
Dhaka Tribune,Feb 15 2020,7 killed in road accidents,7 killed in road accidents,7,0
Dhaka Tribune,Feb 13 2020,15 CU students injured in road accident,15 CU students injured in road...,15,0
Dhaka Tribune,Feb 8 2020,"6 killed in Comilla, Cox's Bazar road accidents","6 killed in Comilla, Cox's Bazar road...",6,0
Dhaka Tribune,Feb 4 2020,6 killed in road crashes,6 killed in road crashes,6,0
Dhaka Tribune,Feb 4 2020,1 killed in Dhaka road accident,1 killed in Dhaka road accident,1,0
Dhaka Tribune,Jan 31 2020,7 killed in road accidents,7 killed in road accidents,7,0
Dhaka Tribune,Jan 29 2020,3 killed in Dinajpur road accident,3 killed in Dinajpur road accident,3,0
Dhaka Tribune,Jan 28 2020,Bus race kills motorcyclist in Dhaka,Bus race kills motorcyclist in...,1,0
Dhaka Tribune,Jan 28 2020,1 killed in Dhaka road accident,1 killed in Dhaka road accident,1,0
Dhaka Tribune,Jan 28 2020,"4 killed in Moulvibazar, Habiganj road accidents","4 killed in Moulvibazar, Habiganj road...",4,0
Dhaka Tribune,Jan 27 2020,SSC examinee dies after being run over by Wasa’s tanker,SSC examinee dies after being run over...,1,0
Dhaka Tribune,Jan 26 2020,2 killed in Mymensingh road accident,2 killed in Mymensingh road...,2,0
Dhaka Tribune,Jan 25 2020,8 killed in road accidents,8 killed in road accidents,8,0
Dhaka Tribune,Jan 24 2020,7 killed in road accidents in 4 districts,7 killed in road accidents in 4...,7,0
Dhaka Tribune,Jan 20 2020,Road accident kills elderly woman,Road accident kills elderly woman,1,0
Dhaka Tribune,Jan 18 2020,3 of a family killed in Jessore road accident,3 of a family killed in Jessore road...,3,0
Dhaka Tribune,Jan 18 2020,6 killed in road accidents,6 killed in road accidents,6,0
Dhaka Tribune,Jan 17 2020,3 killed in Chittagong road accident,3 killed in Chittagong road...,3,0
Dhaka Tribune,Jan 17 2020,4 killed in Dhaka road accidents,4 killed in Dhaka road accidents,4,0
Dhaka Tribune,Jan 16 2020,Homecoming turns tragic for Bangladesh-origin USA man,Homecoming turns tragic for Bangladesh-origin...,1,0
Dhaka Tribune,Jan 14 2020,2 killed in Dhaka road accidents,2 killed in Dhaka road accidents,2,0
Dhaka Tribune,Jan 12 2020,Nine killed in road accidents,Nine killed in road accidents,9,0
Dhaka Tribune,Jan 6 2020,Family of 4 killed in Faridpur road accident,Family of 4 killed in Faridpur road...,4,0
Dhaka Tribune,Jan 4 2020,4 killed in road accidents,4 killed in road accidents,4,0
Dhaka Tribune,Jan 3 2020,5 killed in road accidents in 3 districts,5 killed in road accidents in 3...,5,0
Dhaka Tribune,Jan 2 2020,Road accidents kill 6 in 2 districts,Road accidents kill 6 in 2...,6,0
Dhaka Tribune,Jan 1 2020,Youth killed in Dhaka road accident,Youth killed in Dhaka road,1,0
Dhaka Tribune,Dec 29 2019,"2 killed, 1 injured in road accidents","2 killed, 1 injured in road...",2,1
Dhaka Tribune,Dec 28 2019,Pleasure trip turns into tragedy,Pleasure trip turns into tragedy,,0
Dhaka Tribune,Dec 27 2019,Chittagong Wasa engineer killed in road crash,Chittagong Wasa engineer killed in road...,1,0
Dhaka Tribune,Dec 24 2019,4 of a family among 5 killed in Kushtia road crash,4 of a family among 5 killed in Kushtia...,5,0
Dhaka Tribune,Dec 24 2019,11 killed in road crashes across country,11 killed in road crashes across...,11,0
Dhaka Tribune,Dec 21 2019,Five killed in road accidents,Five killed in road accidents,5,0
Dhaka Tribune,Dec 20 2019,DMCH staff killed in Dhaka road accident,DMCH staff killed in Dhaka road...,1,0
Dhaka Tribune,Dec 19 2019,18 killed in road accidents in 9 districts,18 killed in road accidents in 9...,18,0
Dhaka Tribune,Dec 15 2019,9 killed in road accidents in the last two days,9 killed in road accidents in the last...,9,0
Dhaka Tribune,Dec 15 2019,"‘My mother is dying, please save her’","‘My mother is dying, please save...",1,0
Dhaka Tribune,Dec 13 2019,Truck kills college student in Demra,Truck kills college student in...,1,0
Dhaka Tribune,Dec 6 2019,Three of a family killed in Tangail road accident,Three of a family killed in Tangail...,3,0
Dhaka Tribune,Dec 4 2019,Man killed in Dhaka road accident,Man killed in Dhaka road accident,1,0
Dhaka Tribune,Dec 3 2019,7 killed in road accidents,7 killed in road accidents,7,0
Dhaka Tribune,Nov 29 2019,Bangla Vision staff killed in road accident,Bangla Vision staff killed in road...,1,0
Dhaka Tribune,Nov 26 2019,3 killed in Faridpur road accident,3 killed in Faridpur road accident,3,0
Dhaka Tribune,Nov 23 2019,Police: Negligence of bus driver caused Munshiganj road accident,Police: Negligence of bus driver caused...,,0
Dhaka Tribune,Nov 22 2019,9 killed in Munshiganj road accident,9 killed in Munshiganj road...,9,0
Dhaka Tribune,Nov 20 2019,Police constable killed in Comilla road accident,Police constable killed in Comilla road...,1,0
Dhaka Tribune,Nov 19 2019,6 killed in road accidents in 2 districts,6 killed in road accidents in 2...,6,0
Dhaka Tribune,Nov 17 2019,8-year-old boy killed in Mirpur road crash,8-year-old boy killed in Mirpur road...,1,0
Dhaka Tribune,Nov 13 2019,Bus runs over 6-yr-old in Jatrabari,Bus runs over 6-yr-old in,1,0
Dhaka Tribune,Nov 12 2019,7 killed in road accidents across Bangladesh,7 killed in road accidents across...,7,0
Dhaka Tribune,Nov 12 2019,Woman dies after being run over by bus in Dhaka,Woman dies after being run over by bus...,1,0
Dhaka Tribune,Nov 8 2019,13 injured as bus falls into pond in Noakhali,13 injured as bus falls into pond in...,0,13
Dhaka Tribune,Nov 8 2019,Road accidents claim 12 lives across country,Road accidents claim 12 lives across...,12,0
Dhaka Tribune,Nov 6 2019,Army personnel killed in Chittagong road crash,Army personnel killed in Chittagong...,1,0
Dhaka Tribune,Oct 31 2019,Youth killed in Paltan road accident,Youth killed in Paltan road...,1,0
Dhaka Tribune,Oct 28 2019,5 killed in road accidents in 4 districts,5 killed in road accidents in 4...,5,0
Dhaka Tribune,Oct 28 2019,2 killed in Rangpur road accident,2 killed in Rangpur road accident,2,0
Dhaka Tribune,Oct 25 2019,"4 killed, 26 injured in road accidents","4 killed, 26 injured in road...",4,0
Dhaka Tribune,Oct 22 2019,6 killed in road accidents in 5 districts,6 killed in road accidents in 5...,6,0
Dhaka Tribune,Oct 20 2019,1 killed in Dhaka road accident,1 killed in Dhaka road accident,1,0
Dhaka Tribune,Oct 19 2019,6 killed in road accidents in 4 districts,6 killed in road accidents in 4...,6,0
Dhaka Tribune,Oct 18 2019,7 killed in road accidents,7 killed in road accidents,7,0
Dhaka Tribune,Oct 17 2019,Child crushed under easy-bike in Dhaka,Child crushed under easy-bike in...,1,0
Dhaka Tribune,Oct 16 2019,"Bus-truck collision kills 1, injures 3 in Sirajganj","Bus-truck collision kills 1, injures...",1,3
Dhaka Tribune,Oct 13 2019,"2 die, one injured in Dhaka road crashes","2 die, one injured in Dhaka road...",2,1
Dhaka Tribune,Oct 12 2019,9 killed in road accidents,9 killed in road accidents,9,0
Dhaka Tribune,Oct 6 2019,College student killed in Pirojpur road accident,College student killed in Pirojpur road...,1,0
Dhaka Tribune,Oct 6 2019,Autorickshaw-train collision kills 6-year-old,Autorickshaw-train collision kills...,1,0
Dhaka Tribune,Oct 5 2019,"4 killed in road accidents in Jessore, Dinajpur and Nilphamari","4 killed in road accidents in Jessore,...",4,0
Dhaka Tribune,Oct 4 2019,Eight killed in road accidents,Eight killed in road accidents,8,0
Dhaka Tribune,Oct 3 2019,RAB official killed in Dhaka road accident,RAB official killed in Dhaka road...,1,0
Dhaka Tribune,Oct 2 2019,Fire service officer killed in road accident,Fire service officer killed in road...,1,0
Dhaka Tribune,Oct 2 2019,"1 killed, at least 60 injured in road accidents in 2 districts","1 killed, at least 60 injured in road...",1,60
Dhaka Tribune,Sep 29 2019,Five killed in road accidents,Five killed in road accidents,5,0
Dhaka Tribune,Sep 28 2019,"2 killed in road accidents in Rangpur, Feni","2 killed in road accidents in Rangpur,...",2,0
